date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Hist,MACD,MACD_Signal,SlowK,SlowD,adx,cci,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
2000-01-05,29.06,29.38,28.0,29.31,14.655,4102300.0,0.0,1.0,0.2051,14.694,14.689,50.9005,53540400.0,-0.1041,0.3806,0.4847,60.4536,71.6264,28.297,-30.6561,20.0,60.0,13.8311,14.694,15.5569,73901897.7799,1
2000-01-06,31.0,32.0,30.5,32.0,16.0,5744700.0,0.0,1.0,9.1778,15.05,15.126,73.556,65029800.0,-0.0158,0.4649,0.4807,62.3274,66.6982,31.6698,119.0407,0.0,100.0,13.8573,15.05,16.2427,85391297.7799,1
2000-01-07,30.81,32.81,30.75,32.5,16.25,4271700.0,0.0,1.0,1.5625,15.406,15.5007,76.1165,73573200.0,0.0519,0.5456,0.4937,79.3113,67.3641,36.0635,101.2495,60.0,100.0,14.065,15.406,16.747,91363383.2167,1
2000-01-10,33.5,35.5,33.38,35.0,17.5,6458200.0,0.0,1.0,7.6923,15.806,16.1671,85.1209,86489600.0,0.1669,0.7024,0.5354,95.6295,79.0894,43.203,134.5401,40.0,100.0,13.6475,15.806,17.9645,98187141.7073,0
2000-01-11,35.0,35.94,33.94,34.06,17.03,3339900.0,0.0,1.0,-2.6857,16.287,16.4547,72.3082,79809800.0,0.1954,0.7797,0.5843,87.7369,87.5592,49.3325,83.6959,20.0,100.0,14.3334,16.287,18.2406,92308917.7073,1
2000-01-12,34.0,36.75,33.63,36.25,18.125,4409300.0,0.0,1.0,6.4298,16.981,17.0115,80.7476,88628400.0,0.2675,0.9187,0.6512,87.2186,90.195,54.9972,81.9643,0.0,100.0,15.412,16.981,18.55,98301043.3483,1
2000-01-13,36.75,37.75,35.13,37.75,18.875,3771100.0,0.0,1.0,4.1379,17.556,17.6327,84.7316,96170600.0,0.3407,1.077,0.7363,89.4408,88.1321,60.3485,121.1949,0.0,100.0,15.7562,17.556,19.3558,105843243.3483,1
2000-01-14,37.13,40.56,37.0,40.38,20.19,7503900.0,0.0,1.0,6.9669,18.344,18.4851,89.4956,111178400.0,0.4458,1.2936,0.8478,96.4977,91.0524,66.0592,136.9477,0.0,100.0,16.1211,18.344,20.5669,119333400.6517,0
2000-01-18,40.0,41.25,38.69,39.0,19.5,5435700.0,0.0,1.0,-3.4175,18.744,18.8234,74.2917,100307000.0,0.4366,1.3936,0.957,89.3218,91.7534,70.866,89.4392,0.0,100.0,16.553,18.744,20.935,111094917.8392,1
2000-01-19,39.75,43.0,38.81,39.19,19.595,4462200.0,0.0,1.0,0.4872,19.257,19.0806,75.022,109231400.0,0.4053,1.4636,1.0583,75.7679,87.1958,75.2146,77.7847,20.0,100.0,17.851,19.257,20.663,103789263.4239,0
2000-01-20,43.5,45.13,38.0,39.0,19.5,14423600.0,0.0,1.0,-0.4848,19.532,19.2204,72.4494,80384200.0,0.3487,1.4942,1.1455,56.1703,73.7533,79.1053,86.7812,0.0,100.0,18.6974,19.532,20.3666,83033844.6301,0
2000-01-21,39.13,39.13,36.13,37.88,18.94,5857500.0,0.0,1.0,-2.8718,19.545,19.1269,57.836,68669200.0,0.2488,1.4565,1.2077,39.1609,57.033,73.1002,-148.0583,0.0,80.0,18.7507,19.545,20.3393,84986344.6301,0
2000-01-24,37.25,38.44,33.81,34.5,17.25,5134900.0,0.0,1.0,-8.9229,18.957,18.5013,32.8447,58399400.0,0.0542,1.2755,1.2212,21.4133,38.9148,60.3526,-124.6316,100.0,60.0,17.1882,18.957,20.7258,77777521.7359,1
2000-01-25,34.56,40.5,34.5,40.0,20.0,5402900.0,0.0,1.0,15.942,19.057,19.0009,64.2585,69205200.0,0.0938,1.3385,1.2447,26.7406,29.1049,54.2915,-8.4438,80.0,40.0,17.1275,19.057,20.9865,86782355.0693,0
2000-01-26,37.63,38.25,36.56,37.0,18.5,3798900.0,0.0,1.0,-7.5,18.838,18.8339,48.7198,61607400.0,0.0067,1.253,1.2463,29.6525,25.9355,49.4426,-33.9654,60.0,20.0,16.9544,18.838,20.7216,83140805.9568,0
2000-01-27,38.0,39.0,36.88,36.94,18.47,3083900.0,0.0,1.0,-0.1622,18.632,18.7126,48.427,55439600.0,-0.0616,1.1693,1.2309,43.2161,33.2031,47.1712,29.0904,40.0,0.0,16.8612,18.632,20.4028,77322126.7116,0
2000-01-28,37.19,37.75,34.38,35.25,17.625,3433600.0,0.0,1.0,-4.575,18.369,18.3501,39.9705,48572400.0,-0.1663,1.023,1.1894,32.1637,35.0108,39.0614,-76.2137,20.0,40.0,16.4731,18.369,20.2649,74000602.676,1
2000-01-31,35.25,36.25,34.44,36.0,18.0,2144400.0,0.0,1.0,2.1277,18.519,18.2334,45.272,52861200.0,-0.2101,0.9267,1.1368,31.5938,35.6579,32.5736,-91.0931,0.0,20.0,16.9029,18.519,20.1351,77104651.2947,1
2000-02-01,36.5,36.75,35.0,36.56,18.28,2555600.0,0.0,1.0,1.5556,18.175,18.2489,49.4396,57972400.0,-0.2191,0.863,1.0821,31.7271,31.8282,26.6937,-31.2393,60.0,0.0,17.5197,18.175,18.8303,81105990.7233,0
2000-02-02,36.31,36.5,35.56,36.06,18.03,2038100.0,0.0,1.0,-1.3676,18.081,18.1759,45.5669,53896200.0,-0.239,0.7833,1.0223,36.6735,33.3315,21.9898,-21.8158,40.0,20.0,17.5097,18.081,18.6523,81366173.702,1
2000-02-03,36.75,39.38,36.31,39.0,19.5,4761900.0,0.0,1.0,8.1531,18.287,18.6173,65.4555,63420000.0,-0.1545,0.8292,0.9837,58.6499,42.3502,26.9921,166.6667,20.0,100.0,17.0039,18.287,19.5701,88532290.3144,0
2000-02-04,38.56,40.13,38.38,38.56,19.28,3554600.0,0.0,1.0,-1.1282,18.618,18.8382,61.2677,56310800.0,-0.1164,0.8381,0.9546,67.0571,54.1268,32.3551,103.5549,0.0,100.0,17.3349,18.618,19.9011,82885554.3144,1
2000-02-07,38.56,41.31,38.13,41.31,20.655,3028300.0,0.0,1.0,7.1317,19.149,19.4438,74.1757,62367400.0,-0.0074,0.9453,0.9527,88.2692,71.3254,38.5083,104.1031,0.0,100.0,17.2695,19.149,21.0285,88942154.3144,1
2000-02-08,41.0,42.0,39.19,41.38,20.69,4291900.0,0.0,1.0,0.1695,19.631,19.8592,74.4467,70951200.0,0.0548,1.0213,0.9664,87.5935,80.9733,44.3783,94.3967,0.0,100.0,17.6564,19.631,21.6056,93738085.2753,1
