date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,roc,sma,ema,rsi,obv,MACD_Signal,MACD,MACD_Hist,SlowK,SlowD,adx,cci,Aroon Up,Aroon Down,Real Lower Band,Real Middle Band,Real Upper Band,ad,shifted_ROC_BOOL
2000-02-29,39.38,40.25,39.0,39.5,19.75,4151600.0,0.0,1.0,4.6358,20.5652,20.2221,52.616,86420800.0,0.897,0.5191,-0.3779,22.0051,31.0646,38.8678,-47.3321,50.0,0.0,18.1094,20.5652,23.0211,104321551.4605,1
2000-03-01,39.88,41.38,39.69,40.5,20.25,3276100.0,0.0,1.0,2.5316,20.6637,20.2248,54.4117,92973000.0,0.8108,0.4661,-0.3447,30.5085,28.066,37.8425,-25.4593,45.0,0.0,18.4349,20.6637,22.8926,104050158.5611,0
2000-03-02,40.44,40.44,38.5,39.25,19.625,2270300.0,0.0,1.0,-3.0864,20.7435,20.1677,51.8273,88432400.0,0.7225,0.3695,-0.3531,41.1236,31.2124,36.5118,-86.7153,40.0,0.0,18.8016,20.7435,22.6854,103020331.757,1
2000-03-03,39.75,42.0,39.75,41.5,20.75,3456500.0,0.0,1.0,5.7325,20.806,20.2231,55.8046,95345400.0,0.6539,0.3793,-0.2746,58.9042,43.5121,35.5884,-19.042,35.0,0.0,18.9497,20.806,22.6623,106860887.3126,1
2000-03-06,46.0,49.0,46.0,47.5,23.75,11229200.0,0.0,1.0,14.4578,21.0295,20.559,64.12,117803800.0,0.6475,0.622,-0.0255,69.4593,56.4957,35.8017,240.0434,100.0,75.0,18.9049,21.0295,23.1541,106860887.3126,1
2000-03-07,49.44,59.0,49.0,55.0,27.5,12862000.0,0.0,1.0,15.7895,21.3717,21.2201,71.2401,143527800.0,0.7388,1.1042,0.3653,84.9201,71.0945,36.864,350.8082,100.0,70.0,17.8517,21.3717,24.8918,112005687.3126,0
2000-03-08,55.5,55.5,48.0,53.5,26.75,6733000.0,0.0,1.0,-2.7273,21.6747,21.7467,68.3832,130061800.0,0.873,1.4095,0.5366,79.7909,78.0568,37.6438,222.0068,95.0,65.0,17.4657,21.6747,25.8838,118289820.6459,1
2000-03-09,52.69,60.0,50.5,58.13,29.065,6706000.0,0.0,1.0,8.6542,22.0765,22.4437,72.0278,143473800.0,1.0619,1.8174,0.7555,81.4747,82.0619,38.6734,232.1293,100.0,60.0,16.7935,22.0765,27.3595,126421728.0143,0
2000-03-10,53.13,54.25,50.0,52.0,26.0,8425000.0,0.0,1.0,-10.5453,22.314,22.7824,62.058,126623800.0,1.2238,1.8717,0.6479,68.9311,76.7322,39.5408,126.6041,95.0,55.0,16.7799,22.314,27.8481,125430551.5437,0
2000-03-13,48.31,53.25,48.25,51.5,25.75,3867900.0,0.0,1.0,-0.9615,22.464,23.065,61.3291,118888000.0,1.3537,1.873,0.5194,54.2631,68.2229,39.9817,92.7212,90.0,50.0,16.7317,22.464,28.1963,127751291.5437,0
2000-03-14,52.0,53.75,48.0,48.0,24.0,2968100.0,0.0,1.0,-6.7961,22.5827,23.1541,56.4444,112951800.0,1.4256,1.7131,0.2875,24.0079,49.0674,40.4381,67.5725,85.0,45.0,16.8265,22.5827,28.339,121815091.5437,1
2000-03-15,49.0,50.44,47.5,49.25,24.625,4188100.0,0.0,1.0,2.6042,22.7265,23.2942,57.7107,121328000.0,1.4641,1.6181,0.1541,14.3889,30.8866,40.7592,50.0223,80.0,40.0,16.9173,22.7265,28.5357,123410558.2104,0
2000-03-16,49.63,50.0,46.31,49.19,24.595,3210500.0,0.0,1.0,-0.1218,22.8625,23.4181,57.626,114907000.0,1.4758,1.5229,0.0471,16.7573,18.3847,40.7969,38.6239,75.0,35.0,17.0122,22.8625,28.7128,127012582.6006,1
2000-03-17,48.81,50.69,48.13,50.0,25.0,2640100.0,0.0,1.0,1.6467,23.0375,23.5687,58.4912,120187200.0,1.4733,1.4632,-0.0101,33.2896,21.4786,40.8962,48.0608,70.0,30.0,17.1514,23.0375,28.9236,129446424.7881,1
2000-03-20,50.94,54.13,50.75,53.75,26.875,3684600.0,0.0,1.0,7.5,23.3062,23.8836,62.2476,127556400.0,1.4885,1.5494,0.0609,60.3365,36.7945,41.2836,81.4302,65.0,25.0,17.2375,23.3062,29.375,135158644.9065,1
2000-03-21,54.13,55.75,52.63,54.81,27.405,4724000.0,0.0,1.0,1.9721,23.6312,24.219,63.2375,137004400.0,1.5191,1.6415,0.1224,78.2599,57.2953,41.7758,92.0687,60.0,20.0,17.4172,23.6312,29.8453,138913619.2655,1
2000-03-22,55.5,58.88,55.25,57.5,28.75,4788600.0,0.0,1.0,4.9079,24.0422,24.6505,65.644,146581600.0,1.5758,1.8023,0.2265,91.4015,76.666,42.462,116.9751,55.0,15.0,17.6192,24.0422,30.4653,141208981.2489,0
2000-03-23,56.56,58.0,52.5,55.38,27.69,2839900.0,0.0,1.0,-3.687,24.3627,24.94,62.2629,140901800.0,1.6252,1.8231,0.1979,82.1686,83.9433,42.5196,86.6211,50.0,10.0,17.8836,24.3627,30.8419,141477480.8853,0
2000-03-24,53.5,56.88,53.19,54.0,27.0,3305000.0,0.0,1.0,-2.4919,24.7002,25.1362,60.1404,134291800.0,1.6529,1.7637,0.1107,65.4796,79.6832,42.5743,73.9011,45.0,5.0,18.4128,24.7002,30.9877,137769432.1048,1
2000-03-27,54.0,55.94,53.81,54.19,27.095,2226700.0,0.0,1.0,0.3519,25.1112,25.3227,60.3363,138745200.0,1.6632,1.7045,0.0413,44.6354,64.0945,42.6263,68.752,40.0,0.0,19.3478,25.1112,30.8747,134905038.6776,1
2000-03-28,54.25,56.88,53.5,55.13,27.565,2664700.0,0.0,1.0,1.7346,25.502,25.5363,61.3265,144074600.0,1.6658,1.6763,0.0104,35.8957,48.6702,42.7591,71.6409,35.0,10.0,20.2047,25.502,30.7993,134715829.2101,0
